State,Participation,English,Math,Reading,Science,Composite
National,35,19.6,19.9,20.9,20.4,20.3
Alabama ,100,18.4,18,19.2,18.8,18.7
Alaska ,16,19.4,20.5,21.6,20.6,20.6
Arizona ,35,18.6,19.8,20.3,19.9,19.8
Arkansas ,99,18.6,18.3,19.3,19.2,19
California ,5,26.2,25.6,26.6,25.5,26.1
Colorado ,16,23.3,23,24.3,23.4,23.6
Connecticut ,9,27.5,26.2,28,26.4,27.2
Delaware ,5,25.9,24.5,27,25,25.7
District of Columbia ,19,25.8,24.5,26.8,25,25.6
Florida ,34,19.9,19.6,21.4,20.1,20.4
Georgia ,24,22.1,21.9,23.4,22.4,22.6
Hawaii ,67,16.8,18.1,18.6,18.7,18.2
Idaho ,16,22.3,22.3,24.1,22.7,23
Illinois ,19,25.3,24.5,25.8,24.6,25.2
Indiana ,14,22.2,22.8,23.9,22.8,23.1
Iowa ,47,20.4,20.8,22.4,21.8,21.5
Kansas ,79,18.9,19.5,20.6,20.2,19.9
Kentucky ,100,18.7,18.8,19.7,19.3,19.2
Louisiana ,98,18.1,17.8,18.8,18.6,18.4
Maine ,2,25.7,24.4,26.8,25,25.6
Maryland ,8,25.7,24.5,26.5,24.9,25.5
Massachusetts ,7,27.6,26.9,28.4,26.8,27.6
Michigan ,9,25.1,24.5,25.7,24.6,25.1
Minnesota ,60,20.2,21.5,22.2,22,21.6
Mississippi ,100,17.5,17.6,18.4,18.3,18.1
Missouri ,63,19.9,19.9,21.3,20.7,20.6
Montana ,70,19.2,20,21.1,20.7,20.4
Nebraska ,86,19.1,19.6,20.7,20.2,20
Nevada ,100,16.7,17.7,18.2,18.2,17.8
New Hampshire ,4,26.5,25.9,27.4,26.1,26.6
New Jersey ,12,25.3,24.7,25.7,24.4,25.1
New Mexico ,23,19.7,20.1,21.6,20.9,20.7
New York ,9,26.1,25.7,27,25.9,26.3
North Carolina ,92,17.3,19,19.4,19.3,18.9
North Dakota ,100,18.2,19.7,20,20.1,19.6
Ohio ,85,18.5,19.5,20.2,19.8,19.6
Oklahoma ,58,19.1,18.7,20.7,19.8,19.7
Oregon ,20,19.6,20.3,21.3,20.8,20.6
Pennsylvania ,7,24.8,24.3,25.8,24.5,25
Rhode Island ,4,25.7,24.8,27,25.2,25.8
South Carolina ,50,17.4,18.4,19.2,18.9,18.6
South Dakota ,55,20.5,21.2,22.4,21.9,21.6
Tennessee ,100,18.7,18.5,19.7,19.1,19.1
Texas ,23,18.9,20,20.6,20.3,20.1
Utah ,86,19.7,20.1,21.3,20.8,20.6
Vermont ,4,24.2,23.4,26.2,24.5,24.7
Virginia ,9,25.5,24.5,26.5,25.1,25.5
Washington ,7,22.9,23.1,24.4,23.4,23.6
West Virginia ,30,20.6,19.6,21.8,20.8,20.8
Wisconsin ,96,18.9,19.9,20.3,20.4,20
Wyoming ,91,18.6,19.4,20.7,20.2,19.8
