state,part_17,eng_17,math_17,read_17,sci_17,comp_17,part_18,eng_18,math_18,read_18,sci_18,comp_18,part_19,eng_19,math_19,read_19,sci_19,comp_19,part_20,eng_20,math_20,read_20,sci_20,comp_20,part_21,eng_21,math_21,read_21,sci_21,comp_21,part_22,eng_22,math_22,read_22,sci_22,comp_22
National,0.6,20.3,20.7,21.4,21.0,21.0,0.52,20.2,20.5,21.3,20.7,20.8,0.48,20.1,20.4,21.2,20.6,20.7,0.46,20.1,20.4,21.2,20.6,20.7,0.35,19.6,19.9,20.9,20.4,20.3,0.36,19.0,19.3,20.4,19.9,19.8
Alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,18.9,18.3,19.6,19.0,19.1,1.0,18.7,18.1,19.5,18.8,18.9,1.0,18.5,18.1,19.3,18.8,18.8,1.0,18.4,18.0,19.2,18.8,18.7,1.0,17.3,17.4,18.5,18.2,18.0
Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,19.8,20.6,21.6,20.7,20.8,0.38,18.9,19.9,20.9,20.2,20.1,0.33,18.8,20.0,21.0,20.1,20.1,0.16,19.4,20.5,21.6,20.6,20.6,0.14,19.3,20.0,21.4,20.4,20.4
Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,18.2,19.4,19.5,19.2,19.2,0.73,17.9,19.2,19.3,19.0,19.0,0.71,18.0,19.3,19.5,19.1,19.1,0.35,18.6,19.8,20.3,19.9,19.8,0.64,17.3,18.5,18.8,18.5,18.4
Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.1,18.9,19.7,19.4,19.4,1.0,19.0,18.7,19.6,19.2,19.3,1.0,18.7,18.4,19.4,19.1,19.0,0.99,18.6,18.3,19.3,19.2,19.0,0.93,18.3,18.1,19.2,19.1,18.8
California,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.5,22.5,23.0,22.1,22.7,0.23,22.4,22.3,23.0,22.2,22.6,0.19,23.1,22.9,23.8,22.8,23.3,0.05,26.2,25.6,26.6,25.5,26.1,0.04,26.9,25.6,27.3,25.8,26.5
Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,23.2,24.4,23.5,23.9,0.27,23.8,23.3,24.3,23.4,23.8,0.25,23.6,23.1,24.4,23.4,23.7,0.16,23.3,23.0,24.3,23.4,23.6,0.15,23.0,22.4,24.0,23.0,23.2
Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,26.0,24.8,26.1,24.9,25.6,0.22,25.9,24.7,26.1,24.8,25.5,0.19,26.3,25.1,26.5,25.3,25.9,0.09,27.5,26.2,28.0,26.4,27.2,0.09,26.8,25.3,27.1,25.7,26.3
Delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.7,23.1,24.5,23.4,23.8,0.13,23.9,23.1,24.7,23.5,24.0,0.11,24.4,23.2,25.1,23.7,24.2,0.05,25.9,24.5,27.0,25.0,25.7,0.05,25.3,23.6,26.1,24.3,24.9
District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.7,22.7,24.4,23.0,23.6,0.32,23.6,22.7,24.4,22.9,23.5,0.33,23.2,22.3,23.9,22.6,23.1,0.19,25.8,24.5,26.8,25.0,25.6,0.18,27.4,25.2,28.2,26.0,26.9
Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.2,19.3,21.1,19.5,19.9,0.54,19.5,19.5,21.2,19.7,20.1,0.46,20.1,19.8,21.7,20.2,20.6,0.34,19.9,19.6,21.4,20.1,20.4,0.46,18.5,18.4,20.0,18.8,19.0
Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,20.9,20.7,22.1,21.2,21.4,0.49,20.9,20.7,22.2,21.2,21.4,0.43,21.3,21.0,22.5,21.6,21.7,0.24,22.1,21.9,23.4,22.4,22.6,0.3,21.0,20.8,22.5,21.5,21.6
Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.2,19.0,19.1,19.0,18.9,0.8,17.9,19.2,19.2,19.2,19.0,0.82,17.2,18.6,19.1,18.7,18.5,0.67,16.8,18.1,18.6,18.7,18.2,0.53,17.6,18.6,19.4,19.1,18.8
Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,21.9,21.6,23.2,22.1,22.3,0.31,21.9,21.9,23.4,22.2,22.5,0.28,22.1,21.9,23.8,22.4,22.7,0.16,22.3,22.3,24.1,22.7,23.0,0.15,22.3,22.2,23.7,22.6,22.8
Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,24.1,23.4,24.2,23.4,23.9,0.35,24.5,23.8,24.7,23.7,24.3,0.31,24.9,24.1,25.1,24.1,24.7,0.19,25.3,24.5,25.8,24.6,25.2,0.18,24.8,23.7,25.2,24.0,24.5
Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.32,21.9,22.3,23.1,22.2,22.5,0.29,21.7,22.3,23.1,22.2,22.5,0.25,21.9,22.4,23.3,22.2,22.6,0.14,22.2,22.8,23.9,22.8,23.1,0.13,22.1,22.5,23.7,22.5,22.8
Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.0,21.2,22.5,22.0,21.8,0.66,20.8,21.0,22.3,21.8,21.6,0.68,20.1,20.5,22.0,21.3,21.1,0.47,20.4,20.8,22.4,21.8,21.5,0.49,20.4,20.6,22.3,21.6,21.4
