state,2017,2018,2019,2020,2021,2022
National,20.3,20.2,20.1,20.1,19.6,19.0
Alabama,18.9,18.9,18.7,18.5,18.4,17.3
Alaska,18.7,19.8,18.9,18.8,19.4,19.3
Arizona,18.6,18.2,17.9,18.0,18.6,17.3
Arkansas,18.9,19.1,19.0,18.7,18.6,18.3
California,22.5,22.5,22.4,23.1,26.2,26.9
Colorado,20.1,23.9,23.8,23.6,23.3,23.0
Connecticut,25.5,26.0,25.9,26.3,27.5,26.8
Delaware,24.1,23.7,23.9,24.4,25.9,25.3
District of Columbia,24.4,23.7,23.6,23.2,25.8,27.4
Florida,19.0,19.2,19.5,20.1,19.9,18.5
Georgia,21.0,20.9,20.9,21.3,22.1,21.0
Hawaii,17.8,18.2,17.9,17.2,16.8,17.6
Idaho,21.9,21.9,21.9,22.1,22.3,22.3
Illinois,21.0,24.1,24.5,24.9,25.3,24.8
Indiana,22.0,21.9,21.7,21.9,22.2,22.1
Iowa,21.2,21.0,20.8,20.1,20.4,20.4
Kansas,21.1,21.0,20.5,19.5,18.9,18.9
Kentucky,19.6,19.9,19.5,18.9,18.7,17.8
Louisiana,19.4,19.0,18.7,18.3,18.1,17.6
Maine,24.2,23.8,24.2,25.0,25.7,25.2
Maryland,23.3,22.1,22.0,23.7,25.7,24.6
Massachusetts,25.4,25.5,25.5,26.0,27.6,26.6
Michigan,24.1,24.5,24.5,24.6,25.1,24.7
Minnesota,20.4,20.2,20.3,20.0,20.2,19.7
Mississippi,18.2,18.2,18.1,17.8,17.5,17.2
Missouri,19.8,19.5,20.3,20.1,19.9,19.5
Montana,19.0,18.7,18.7,18.7,19.2,18.0
Nebraska,20.9,19.4,19.4,19.2,19.1,18.6
Nevada,16.3,16.6,16.8,16.7,16.7,16.1
New Hampshire,25.4,25.1,24.9,25.7,26.5,25.7
New Jersey,23.8,23.8,24.3,24.5,25.3,24.9
New Mexico,18.6,18.3,18.1,18.1,19.7,18.7
New York,23.8,24.2,24.1,24.5,26.1,25.2
North Carolina,17.8,18.0,17.8,17.3,17.3,17.1
North Dakota,19.0,19.1,18.6,18.2,18.2,17.9
Ohio,21.2,19.3,19.0,18.8,18.5,18.2
Oklahoma,18.5,18.4,18.2,17.9,19.1,17.0
Oregon,21.2,20.6,20.3,20.0,19.6,22.5
Pennsylvania,23.4,23.3,23.3,23.4,24.8,24.3
Rhode Island,24.0,24.4,25.0,25.1,25.7,25.3
South Carolina,17.5,17.3,18.0,17.3,17.4,17.8
South Dakota,20.7,20.8,20.7,20.7,20.5,20.5
Tennessee,19.5,19.4,19.1,19.1,18.7,18.0
Texas,19.5,19.6,19.5,19.1,18.9,18.7
Utah,19.5,19.7,19.5,19.3,19.7,18.9
Vermont,23.3,23.9,23.9,23.0,24.2,23.4
Virginia,23.5,23.8,23.8,24.2,25.5,24.6
Washington,20.9,21.4,21.3,22.2,22.9,24.3
West Virginia,20.0,19.8,20.6,20.6,20.6,20.2
Wisconsin,19.7,19.8,19.4,19.1,18.9,18.3
Wyoming,19.4,19.0,18.8,18.6,18.6,18.1
