state,2017,2018,2019,2020,2021,2022
National,20.7,20.5,20.4,20.4,19.9,19.3
Alabama,18.4,18.3,18.1,18.1,18.0,17.4
Alaska,19.8,20.6,19.9,20.0,20.5,20.0
Arizona,19.8,19.4,19.2,19.3,19.8,18.5
Arkansas,19.0,18.9,18.7,18.4,18.3,18.1
California,22.7,22.5,22.3,22.9,25.6,25.6
Colorado,20.3,23.2,23.3,23.1,23.0,22.4
Connecticut,24.6,24.8,24.7,25.1,26.2,25.3
Delaware,23.4,23.1,23.1,23.2,24.5,23.6
District of Columbia,23.5,22.7,22.7,22.3,24.5,25.2
Florida,19.4,19.3,19.5,19.8,19.6,18.4
Georgia,20.9,20.7,20.7,21.0,21.9,20.8
Hawaii,19.2,19.0,19.2,18.6,18.1,18.6
Idaho,21.8,21.6,21.9,21.9,22.3,22.2
Illinois,21.2,23.4,23.8,24.1,24.5,23.7
Indiana,22.4,22.3,22.3,22.4,22.8,22.5
Iowa,21.3,21.2,21.0,20.5,20.8,20.6
Kansas,21.3,21.1,20.7,20.0,19.5,19.4
Kentucky,19.4,19.7,19.2,19.0,18.8,18.0
Louisiana,18.8,18.5,18.2,18.1,17.8,17.4
Maine,24.0,23.6,23.8,24.0,24.4,23.7
Maryland,23.1,22.0,21.7,22.9,24.5,23.0
Massachusetts,25.3,25.2,25.2,25.6,26.9,25.6
Michigan,23.7,23.9,24.0,24.1,24.5,23.9
Minnesota,21.5,21.4,21.4,21.3,21.5,20.7
Mississippi,18.1,18.1,17.9,17.7,17.6,17.4
Missouri,19.9,19.7,20.2,20.1,19.9,19.5
Montana,20.2,19.9,19.7,19.8,20.0,19.0
Nebraska,20.9,19.8,19.7,19.7,19.6,19.1
Nevada,18.0,17.8,18.0,18.0,17.7,17.1
New Hampshire,25.1,24.7,24.7,25.2,25.9,25.0
New Jersey,23.8,23.6,24.0,24.0,24.7,23.9
New Mexico,19.4,19.1,18.9,18.8,20.1,19.1
New York,24.0,24.2,24.1,24.5,25.7,24.6
North Carolina,19.3,19.3,19.2,18.9,19.0,18.5
North Dakota,20.4,20.3,19.9,19.6,19.7,19.1
Ohio,21.6,20.3,19.9,19.8,19.5,19.2
Oklahoma,18.8,18.8,18.3,18.0,18.7,17.3
Oregon,21.5,20.9,20.8,20.6,20.3,22.0
Pennsylvania,23.4,23.2,23.1,23.2,24.3,23.7
Rhode Island,23.3,23.6,23.9,23.9,24.8,24.0
South Carolina,18.6,18.2,18.7,18.3,18.4,18.5
South Dakota,21.5,21.6,21.3,21.5,21.2,21.2
Tennessee,19.2,19.1,18.9,18.7,18.5,18.1
Texas,20.7,20.6,20.4,20.1,20.0,19.5
Utah,19.9,19.9,20.0,19.7,20.1,19.4
Vermont,23.1,23.4,23.3,22.4,23.4,22.4
Virginia,23.3,23.3,23.3,23.5,24.5,23.5
Washington,21.9,22.2,22.1,22.5,23.1,23.6
West Virginia,19.4,19.4,19.7,19.8,19.6,19.4
Wisconsin,20.4,20.3,20.2,19.9,19.9,19.3
Wyoming,19.8,19.7,19.4,19.3,19.4,18.9
