state,2017,2018,2019,2020,2021,2022
National,21.4,21.3,21.2,21.2,20.9,20.4
Alabama,19.7,19.6,19.5,19.3,19.2,18.5
Alaska,20.4,21.6,20.9,21.0,21.6,21.4
Arizona,20.1,19.5,19.3,19.5,20.3,18.8
Arkansas,19.7,19.7,19.6,19.4,19.3,19.2
California,23.1,23.0,23.0,23.8,26.6,27.3
Colorado,21.2,24.4,24.3,24.4,24.3,24.0
Connecticut,25.6,26.1,26.1,26.5,28.0,27.1
Delaware,24.8,24.5,24.7,25.1,27.0,26.1
District of Columbia,24.9,24.4,24.4,23.9,26.8,28.2
Florida,21.0,21.1,21.2,21.7,21.4,20.0
Georgia,22.0,22.1,22.2,22.5,23.4,22.5
Hawaii,19.2,19.1,19.2,19.1,18.6,19.4
Idaho,23.0,23.2,23.4,23.8,24.1,23.7
Illinois,21.6,24.2,24.7,25.1,25.8,25.2
Indiana,23.2,23.1,23.1,23.3,23.9,23.7
Iowa,22.6,22.5,22.3,22.0,22.4,22.3
Kansas,22.3,22.3,21.8,21.0,20.6,20.6
Kentucky,20.5,20.8,20.5,20.1,19.7,19.2
Louisiana,19.8,19.6,19.2,19.1,18.8,18.6
Maine,24.8,24.7,25.1,25.8,26.8,26.2
Maryland,24.2,23.1,23.1,24.6,26.5,25.4
Massachusetts,25.9,25.9,26.1,26.6,28.4,27.3
Michigan,24.5,24.7,24.8,25.0,25.7,25.2
Minnesota,21.8,21.7,21.7,21.8,22.2,21.7
Mississippi,18.8,18.9,18.9,18.5,18.4,18.2
Missouri,20.8,20.5,21.3,21.3,21.3,21.0
Montana,21.0,20.7,20.6,20.4,21.1,20.1
Nebraska,21.9,20.4,20.3,20.2,20.7,19.8
Nevada,18.1,18.0,18.2,18.3,18.2,17.8
New Hampshire,26.0,25.6,25.6,26.2,27.4,26.5
New Jersey,24.1,24.0,24.6,24.7,25.7,25.1
New Mexico,20.4,20.1,20.0,20.1,21.6,20.9
New York,24.6,24.9,25.0,25.4,27.0,26.0
North Carolina,19.6,19.5,19.4,19.5,19.4,19.2
North Dakota,20.5,20.7,20.3,20.1,20.0,19.7
Ohio,22.5,20.8,20.5,20.4,20.2,20.0
Oklahoma,20.1,20.1,19.6,19.5,20.7,18.6
Oregon,22.4,21.9,21.7,21.9,21.3,24.2
Pennsylvania,24.2,24.0,24.1,24.3,25.8,25.2
Rhode Island,24.7,25.0,25.5,25.7,27.0,26.2
South Carolina,19.1,18.6,19.4,19.0,19.2,19.6
South Dakota,22.3,22.4,22.2,22.4,22.4,22.2
Tennessee,20.1,19.9,19.7,19.6,19.7,19.0
Texas,21.1,21.1,21.1,20.8,20.6,20.4
Utah,20.8,20.9,20.8,21.0,21.3,20.6
Vermont,24.4,24.9,25.0,24.5,26.2,25.0
Virginia,24.6,24.7,24.8,25.2,26.5,25.7
Washington,22.1,22.7,22.7,23.7,24.4,25.6
West Virginia,21.2,21.3,21.7,21.8,21.8,21.4
Wisconsin,20.6,20.6,20.4,20.5,20.3,19.7
Wyoming,20.8,20.6,20.4,20.2,20.7,20.0
