state,2017,2018,2019,2020,2021,2022
National,21.0,20.7,20.6,20.6,20.4,19.9
Alabama,19.4,19.0,18.8,18.8,18.8,18.2
Alaska,19.9,20.7,20.2,20.1,20.6,20.4
Arizona,19.8,19.2,19.0,19.1,19.9,18.5
Arkansas,19.5,19.4,19.2,19.1,19.2,19.1
California,22.2,22.1,22.2,22.8,25.5,25.8
Colorado,20.9,23.5,23.4,23.4,23.4,23.0
Connecticut,24.6,24.9,24.8,25.3,26.4,25.7
Delaware,23.6,23.4,23.5,23.7,25.0,24.3
District of Columbia,23.5,23.0,22.9,22.6,25.0,26.0
Florida,19.4,19.5,19.7,20.2,20.1,18.8
Georgia,21.3,21.2,21.2,21.6,22.4,21.5
Hawaii,19.3,19.0,19.2,18.7,18.7,19.1
Idaho,22.1,22.1,22.2,22.4,22.7,22.6
Illinois,21.3,23.4,23.7,24.1,24.6,24.0
Indiana,22.3,22.2,22.2,22.2,22.8,22.5
Iowa,22.1,22.0,21.8,21.3,21.8,21.6
Kansas,21.7,21.5,21.1,20.4,20.2,20.1
Kentucky,20.1,20.1,19.6,19.6,19.3,18.7
Louisiana,19.6,19.1,18.8,18.9,18.6,18.3
Maine,23.7,23.4,23.7,24.2,25.0,24.6
Maryland,23.2,22.2,22.1,23.4,24.9,23.9
Massachusetts,24.7,24.7,24.8,25.4,26.8,25.8
Michigan,23.8,23.9,24.0,24.1,24.6,24.2
Minnesota,21.6,21.4,21.6,21.5,22.0,21.4
Mississippi,18.8,18.6,18.4,18.4,18.3,18.0
Missouri,20.5,20.0,20.8,20.8,20.7,20.4
Montana,20.5,20.0,19.9,20.0,20.7,19.5
Nebraska,21.5,20.1,20.2,20.0,20.2,19.6
Nevada,18.2,17.9,17.9,18.1,18.2,17.6
New Hampshire,24.9,24.4,24.5,25.3,26.1,25.2
New Jersey,23.2,23.0,23.6,23.7,24.4,24.0
New Mexico,20.0,19.7,19.6,19.6,20.9,20.1
New York,23.9,24.2,24.4,24.6,25.9,25.0
North Carolina,19.3,19.2,19.0,18.9,19.3,18.8
North Dakota,20.6,20.5,20.2,20.1,20.1,19.6
Ohio,22.0,20.4,20.1,20.0,19.8,19.7
Oklahoma,19.6,19.4,19.0,18.9,19.8,18.2
Oregon,21.7,21.1,21.1,20.8,20.8,22.8
Pennsylvania,23.3,23.1,23.2,23.4,24.5,24.0
Rhode Island,23.4,23.5,24.0,24.1,25.2,24.7
South Carolina,18.9,18.5,18.9,18.6,18.9,19.1
South Dakota,22.0,22.2,21.9,21.9,21.9,21.7
Tennessee,19.9,19.6,19.2,19.1,19.1,18.6
Texas,20.9,20.8,20.6,20.4,20.3,19.9
Utah,20.6,20.5,20.3,20.3,20.8,20.2
Vermont,23.2,23.8,23.9,23.0,24.5,23.5
Virginia,23.5,23.5,23.6,24.0,25.1,24.3
Washington,22.0,22.0,21.9,22.6,23.4,24.3
West Virginia,20.5,20.4,20.7,20.9,20.8,20.4
Wisconsin,20.9,20.8,20.6,20.3,20.4,19.8
Wyoming,20.6,20.3,20.0,20.0,20.2,19.5
